nicho,nombre,direccion,telefono,web,score,problemas,verificado,estado_contacto,fecha_contacto,respuesta
Talleres Mecánicos,Wally's Precision Auto Care,"3290 Pinks Pl, Las Vegas, NV 89102",(702) 871-7310,https://wallysprecisionauto.com/,1,212 reseñas en Yelp (negocio activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Talleres Mecánicos,Squeaky Brakes LV,"Las Vegas, NV 89166 (servicio móvil, sin local fijo)",(725) 300-7700,https://squeakybrakeslv.com/,1,188 reseñas en Yelp (negocio activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Talleres Mecánicos,Zenith Auto Care,"2563 E Washburn Rd, North Las Vegas, NV 89081",(702) 639-6333,https://www.zenithautocare.net/,1,284 reseñas en Yelp (negocio activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Talleres Mecánicos,Sonny's Auto Repair,"1000 Stephanie Pl, Ste 8, Henderson, NV 89014",(702) 564-0033,https://www.sonnysauto702.com/,1,175 reseñas en Yelp (negocio activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Talleres Mecánicos,Miguel's Mobile Mechanic,"2255 Marion Dr # 6, Las Vegas, NV 89115",(702) 979-8941,https://miguelsmobilemechanic.com/,1,264 reseñas en Yelp (negocio activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Talleres Mecánicos,Eurotek Tuning,"6250 Banning Creek Dr, Las Vegas, NV 89118",(888) 967-5634,https://eurotektuning.com/,1,294 reseñas en Yelp (negocio activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Capillas de Boda,Elvis Chapel,"1320 S Casino Center Blvd, Las Vegas, NV 89104",(702) 383-5909,https://elvischapel.com/,1,116 reseñas en Yelp (negocio activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Capillas de Boda,Lucky Little Wedding Chapel,"321 S Casino Center Blvd, Las Vegas, NV 89101",(866) 814-5830,https://www.luckylittlechapel.com/,1,289 reseñas en Yelp (negocio muy activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Capillas de Boda,The Little Vegas Chapel,"1330 S 3rd St, Las Vegas, NV 89104",(702) 385-5683,https://www.thelittlevegaschapel.com/,1,375 reseñas en Yelp (negocio muy activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Salones de Uñas,Top Nails (Meadows Ln),"4640 Meadows Ln, Ste 140, Las Vegas, NV 89107",(702) 878-9611,https://topnailslv.com/,1,202 reseñas en Yelp (negocio activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Salones de Uñas,Nail Forum I,"7700 Las Vegas Blvd S, Ste 3, Las Vegas, NV 89123",(702) 834-6619,https://nailforum1lasvegas.com/,1,275 reseñas en Yelp (negocio muy activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Salones de Uñas,Color Splash Nails Wax Lashes,"9310 W Sahara Ave, Ste 4, Las Vegas, NV 89117",(702) 405-6765,https://colorsplashlv.com/,1,126 reseñas en Yelp (negocio activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Salones de Uñas,Golden Hour Nails Spa,"384 E Tropicana Ave, Ste 115, Las Vegas, NV 89169",(702) 202-0868,https://goldenhournailslasvegas.com/,1,290 reseñas en Yelp (negocio muy activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Salones de Uñas,Top Nails LLC,"4550 S Maryland Pkwy #22, Las Vegas, NV 89119",(702) 739-3002,https://topnailsnv.com/,1,666+ reseñas en Yelp/Google (negocio muy activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Salones de Uñas,Social Nail Bar,"2280 Paseo Verde Pkwy, Ste 120, Henderson, NV 89052",(702) 790-2333,http://www.socialnailbargvr.com,1,272 reseñas en Yelp (negocio muy activo); Sitio ya moderno (Wix) — baja prioridad de rediseño,True,Pendiente,,
Tatuajes,Midway City Tattoo & Piercing,"400 College Dr, Ste I, Henderson, NV 89015",(702) 268-8071,https://www.midwaycitytattoo.com/,0,"Sitio en plantilla Wix, pero personalizado — sin oportunidad clara detectada",True,Pendiente,,
Tatuajes,Downtown Tattoo (Henderson),"37 S Water St, Ste 120, Henderson, NV 89015",(702) 333-1006,https://downtowntattoo.vegas/henderson/,0,Sitio moderno y personalizado — sin oportunidad clara detectada; Solo 18 reseñas en Yelp (sucursal más nueva),True,Pendiente,,
Tatuajes,Collective Tattoo Parlor,"8416 W Desert Inn Rd, Las Vegas, NV 89117",(702) 476-9921,https://www.ctparlor.com/,0,Sitio moderno (Squarespace) pero con contenido mínimo (sin precios ni disponibilidad),True,Pendiente,,
Talleres Mecánicos,Courtesy Auto Repair & Service,"7035 W Sahara Ave, Ste 500, Las Vegas, NV 89117",(702) 565-9059,https://carserviceoflasvegas.com/,0,"Sitio moderno, personalizado y con buena experiencia de usuario — sin oportunidad clara detectada",True,Pendiente,,
Capillas de Boda,Paradise Wedding Chapel,"520 S 6th St, Las Vegas, NV 89101",(702) 344-0909,https://paradiseweddingchapel.com/,0,Sitio funcional y profesional — sin oportunidad clara detectada,True,Pendiente,,
Capillas de Boda,Cupid's Wedding Chapel,"616 S 3rd St, Las Vegas, NV 89101",(702) 598-4444,"cupidswedding.com (bloqueó la verificación automática — HTTP 403, revisar manualmente)",0,Sin verificar (el sitio bloqueó el acceso automático),False,Pendiente,,
Salones de Uñas,City Nails,"3585 S Maryland Pkwy #H, Las Vegas, NV 89169",(702) 731-3900,https://citynailsvegas.com/,0,Sitio moderno y funcional — sin oportunidad clara detectada,True,Pendiente,,
Salones de Uñas,Summit Nails Spa,"1025 South Rampart Blvd, Las Vegas, NV 89145",(702) 846-5473,https://summitnailslv.com/,0,Sitio moderno y funcional — sin oportunidad clara detectada,True,Pendiente,,
Salones de Uñas,Once Upon a Nail Salon,"25 Via Bel Canto, Ste 110, Henderson, NV 89011",(702) 856-0020,https://www.onceuponanailsalon.com/,0,Sitio moderno y con identidad propia — sin oportunidad clara detectada,True,Pendiente,,
